text,label,image
Comiskey dont feel like we need reparations We lost war Part of my tribes treaty is that there will be peace as long as we dont have standing military force It happened in the past and feel like it turned out better than ot could have since most losing nations are the ones that have to pay reparations after wars Now if the US broke up and there was war again or with another tribe then would think the winners would get the spoils,Non_hope_speech,images/INHS0308.jpg
think he resigned his position to take up role in the DHS,Non_hope_speech,images/INHS0480.jpg
Madonna is the PHONIEST person on earth She is absolutely selfish and vile,Non_hope_speech,images/INHS0625.jpg
Thank you am young girl wanting to be engineer but gladly the people around me are much more accepting have very good friend who is boy and we both love engineering and have build robots before for the age of 11 and he had made very detail trucks and vehicles before he was 12nnEdit,Hope_speech,images/IHS_0143.jpg
pass thank you for this response bc yes some Catholics have done horrid things but thats not bc of Catholicism but bc they gave in to sin and they are bad people,Hope_speech,images/IHS_0599.jpg
This shows how racist BLM is,Non_hope_speech,images/INHS0286.jpg
Im sorry love black but all lives matter to me,Non_hope_speech,images/INHS0277.jpg
Inspiring and encouraging,Hope_speech,images/IHS_0327.jpg
Thank you very much for this This inspired me sm,Hope_speech,images/IHS_0148.jpg
SHERIFFS stand up man,Non_hope_speech,images/INHS0406.jpg
Reynolds You cannot change persons sexual orientation Period Thats why Its something hard wired in the brain,Hope_speech,images/IHS_0043.jpg
god gave us choice my choice is to love :pleading face:,Hope_speech,images/IHS_0601.jpg
All lives matter TonyTimpa,Hope_speech,images/IHS_0244.jpg
Kane and so onnnOh god,Non_hope_speech,images/INHS0556.jpg
Smith Now now freedom of speech is right in 2dats society,Hope_speech,images/IHS_0048.jpg
chloe but wouldnt it be better to let other believe what they believe in and not force them into something theyre notnnIm bisexual christan,Hope_speech,images/IHS_0582.jpg
You need people who encourages you Keep working on it you never going to know how good you are until you try it,Hope_speech,images/IHS_0620.jpg
Beaten with bible im deaddd,Non_hope_speech,images/INHS0173.jpg
Not really no Women in politics are important as well,Hope_speech,images/IHS_0555.jpg
HiRAEth Because your satans son,Non_hope_speech,images/INHS0352.jpg
Imposing conversion therapy on anyone is evil It is terrible humans pretending they speak for God and have right to be cruel and judgmental in his namen2 Once again,Hope_speech,images/IHS_0514.jpg
came out at the age of,Hope_speech,images/IHS_0330.jpg
Are we going to destroy George Washington statue too since he was slave owner,Non_hope_speech,images/INHS0264.jpg
Must suck being white male atm,Non_hope_speech,images/INHS0123.jpg
My friend came out of the closet to me,Hope_speech,images/IHS_0631.jpg
Theres always way out and Madonna is just changing the world for the better,Hope_speech,images/IHS_0481.jpg
When you say all lives matter Youre including everyone They dont want to include everyone,Hope_speech,images/IHS_0381.jpg
Ofc all lives matter But black lives matter phrase is just emphasising black because it needs to be given more attention,Non_hope_speech,images/INHS0157.jpg
That sherrifs reading teleprompter for sure 1000 thats fact Scary,Non_hope_speech,images/INHS0547.jpg
Covid19 was created for this purpose,Non_hope_speech,images/INHS0468.jpg
agree with you 100 except dont believe in God find it frustrating that lot of people think that homosexuality is sin,Hope_speech,images/IHS_0103.jpg
The real truth said it like pro,Non_hope_speech,images/INHS0629.jpg
This is stupid,Non_hope_speech,images/INHS0638.jpg
have but one disagreement dear Sherrif,Non_hope_speech,images/INHS0215.jpg
ALM All Lives Matter,Hope_speech,images/IHS_0147.jpg
ITS WAY PAST TIME TO END THAT RACIST BUSINESS WE ARE ONE RACE MADE BY GOD IN IS IMAGE RACIST NOT GOOD,Hope_speech,images/IHS_0452.jpg
All lives matter There is so much diversity here in America and we should just respect each other The color of your skin,Hope_speech,images/IHS_0190.jpg
Its funny mire peaceful protests happened more than the violent ones but they showed the violent ones more and bow people think thats the only way they did it and it wasntyes some people took advantage of it and looted others just wanted justice so they marched,Hope_speech,images/IHS_0240.jpg
