text,label,image
If ur lgbt and ur parents are like his urge you to not come out until you are old enough so you know safe place to go or old enough to leave,Hope_speech,Images_SD/SD_HS_0498.jpg
know You should treat people as people and not colors,Hope_speech,Images_SD/SD_HS_0073.jpg
This whole conversion therapy thing is messed up It makes all Christians look like terrible people even though God says to love everyone,Hope_speech,Images_SD/SD_HS_0466.jpg
Jessica Walker think most people dont even know what you are trying to argue about agree with you Most people may or may not like homosexuals but its just an opinion its really not like they hate them personally dont support homosexuality but also dont hate them just dont support them in general do have one friend who is bi but dont really mind that hes bi just as long as he doesnt act odd around me Also,Hope_speech,Images_SD/SD_HS_0560.jpg
Its very special to understand the real meaning of life This flower is for madonna,Hope_speech,Images_SD/SD_HS_0561.jpg
We are all Childs of God STOP politics divide us,Hope_speech,Images_SD/SD_HS_0020.jpg
am die hard Atheist and was raised in christian home 18 years until left for college recently got into debate with some bible bashing door knockers explained that knew about Christianity and all the lies that it promise me and never game me told them Jesus hates,Non_hope_speech,Images_SD/SD_NHS_0252.jpg
Im black american and agree with you All lives matter cause God would want us to say and stand by that,Hope_speech,Images_SD/SD_HS_0028.jpg
Rebekah nHonestly Think logically for two seconds nIf you were so nice and so caring,Hope_speech,Images_SD/SD_HS_0522.jpg
As we see nearly years on,Non_hope_speech,Images_SD/SD_NHS_0616.jpg
Sasha Dumse no god makes people fall in love with each other their own hearts and feelings do,Non_hope_speech,Images_SD/SD_NHS_0090.jpg
If youre 25 and youve been straight all your life,Non_hope_speech,Images_SD/SD_NHS_0620.jpg
Have whole lotta hope,Non_hope_speech,Images_SD/SD_NHS_0525.jpg
Can you link the source Really need it atm,Non_hope_speech,Images_SD/SD_NHS_0462.jpg
RESPECT LGBTQ PEOPLE SUPPORTING YALL TILL MY LOVE GIVES OUT :star-struck:,Hope_speech,Images_SD/SD_HS_0428.jpg
Replace it with george floyd statue,Non_hope_speech,Images_SD/SD_NHS_0171.jpg
Men think with their brains and women think with their emotionsnnThinking with emotions is semantically invalid statement If you mean to say that women react impulsively to their emotions,Non_hope_speech,Images_SD/SD_NHS_0451.jpg
yall are talking about the girl that said dont agree with homosexualality but my best bet is that shes part of the lgbtq community and is just trying her best to hide her true sexuality because shes scared or ashamed that she wont be accepted,Non_hope_speech,Images_SD/SD_NHS_0332.jpg
Why is she dressed like Michael Jackson,Non_hope_speech,Images_SD/SD_NHS_0469.jpg
Where is the law here Anyone can do anything Where is democracy BTW dont like the statue and think it was bad to have it in the first place But my question is still valid This is not the way This is anarchy,Hope_speech,Images_SD/SD_HS_0227.jpg
This inspired me so much As CS major,Hope_speech,Images_SD/SD_HS_0162.jpg
GUESS WHAT feminism IS about empowering women and if didnt watch the video,Hope_speech,Images_SD/SD_HS_0606.jpg
remember when she performed cpr on me after rescuing me from the water,Hope_speech,Images_SD/SD_HS_0439.jpg
mean you cant really choose who you fall in love with maybe she was just bi all along,Hope_speech,Images_SD/SD_HS_0191.jpg
feel sorry for her being raised in that kind of environment,Hope_speech,Images_SD/SD_HS_0617.jpg
JESUS CHRIST died for all lives from Adam to the last person born on earth ALL LIVES MATTER,Hope_speech,Images_SD/SD_HS_0311.jpg
What seems SATANIC here is you,Non_hope_speech,Images_SD/SD_NHS_0496.jpg
Wtf is up with the negativity by men here Just because shes building toys for girls and encouraging them to go for engineering majors,Hope_speech,Images_SD/SD_HS_0468.jpg
Sam Abesh Lol yeah Ive been taken off lists to visit hangars before take aerospace eng and when asked why,Non_hope_speech,Images_SD/SD_NHS_0123.jpg
Every being is essentially justified by the mere fact it exists That is universal truth Then beings come to relative arrangements among themselves,Hope_speech,Images_SD/SD_HS_0084.jpg
Its ridiculous to believe all lives do not Matter JESUS died on the cross for we are all Gods Children,Non_hope_speech,Images_SD/SD_NHS_0302.jpg
relate to her so much,Hope_speech,Images_SD/SD_HS_0480.jpg
that would just be uhhhpUrE mEaN,Non_hope_speech,Images_SD/SD_NHS_0497.jpg
Just leave her alone She wouldnt want to look at the comment finding people asking about her sexuality because thats weird Its none of our business,Hope_speech,Images_SD/SD_HS_0586.jpg
This is great video As female engineer run into all of these struggles on daily basis also had hard time learning spatial skills and struggled in drawingCAD class GoldieBlox is great first step to helping get more girls interested in engineering and build their confidence in STEM,Hope_speech,Images_SD/SD_HS_0309.jpg
All lives matter if you judge any act for the color of skin regardless what color you are YOU ARE RACEST plane and simple,Non_hope_speech,Images_SD/SD_NHS_0044.jpg
leaving the world isnt as scary as it sounds,Non_hope_speech,Images_SD/SD_NHS_0043.jpg
Clip No they dont,Non_hope_speech,Images_SD/SD_NHS_0231.jpg
USA is imploding,Non_hope_speech,Images_SD/SD_NHS_0085.jpg
Listen to Yuri Bezmenov on Youtube Back in 1984 he explains what is happening now in 2020 am scared of communism and Antifa even here in Scandinavia,Non_hope_speech,Images_SD/SD_NHS_0639.jpg
They already up to do it morons,Non_hope_speech,Images_SD/SD_NHS_0502.jpg
Id just yeet the book back at them,Non_hope_speech,Images_SD/SD_NHS_0404.jpg
She saved mine as well Thank you with all my heart,Hope_speech,Images_SD/SD_HS_0244.jpg
She is cool and inspiring too,Hope_speech,Images_SD/SD_HS_0372.jpg
Tagerius well thats something at least,Non_hope_speech,Images_SD/SD_NHS_0424.jpg
Wow This is amazing You are changing the world for better,Hope_speech,Images_SD/SD_HS_0139.jpg
wanna be civil engineer too Youre not alone Go ahead You can do it,Hope_speech,Images_SD/SD_HS_0444.jpg
Ben Lynch but that sailor was just living his life,Non_hope_speech,Images_SD/SD_NHS_0646.jpg
Ita about how hard you work,Hope_speech,Images_SD/SD_HS_0598.jpg
its nothing about racismits about people who want to do work for theyre living and those who wants everything to come free crime doesnt pay is the lesson from this but people turns now it around and whine about every hammeroid that they got from sitting their whole life this is sick shit and so fucked up,Non_hope_speech,Images_SD/SD_NHS_0125.jpg
All lives matter says God,Hope_speech,Images_SD/SD_HS_0340.jpg
would tell her to shut up and sing but dont think she can sing anymore cans she Wasnt the best to begin with Lady Gaga is much better think gays need to stick with Gaga,Non_hope_speech,Images_SD/SD_NHS_0630.jpg
Thank you for sharing such an inspiring story of yours am Filipina,Hope_speech,Images_SD/SD_HS_0246.jpg
BobbityBob19 Priti Patel is priti fit,Non_hope_speech,Images_SD/SD_NHS_0130.jpg
Im atheist and still support and agree with the LGBTQ community,Hope_speech,Images_SD/SD_HS_0602.jpg
