Text,Class
Rose Homosexuality cant be changed nor is it choice,Hope_speech
The most important thing in the bible is to love,Hope_speech
Female engineer in the making and Im loving every step of the journey,Hope_speech
am abhorred by what happened to George Floyd am white and am not racist But it is clear that racists have usurped this movement They are racists against freedom and against our constitutional liberties These racists want to destroy everything that has been gained for blacks and for whites in this country They want to bring tyranny and oppression giving control to the Democratic Left who have oppressed so many for so long Stand up America And stop them now,Hope_speech
There are lot of adults that could learn from these kids Great job parents,Hope_speech
Beautiful interview She has done so much for the LGBTQ community over her 35year music career This was such genuine and heartfelt interview What beautiful person she is,Hope_speech
Why cant you say all lives matter but you can say black lives matter thats bit selfish,Hope_speech
Emilia girls being engineers are common in my country,Hope_speech
think it took her while to realize that she can approach things in different way not the way that she went about it,Hope_speech
This comment is amasing Wishing you more happiness sir and to continue to inspire dreams and aspirations in the minds of these young children,Hope_speech
Exactly absolute bell ends the lot of them Disgraceful behaviour and it only goes against them and there cause Most of these probates have been on ten week holiday and getting 80 of there wages while doing nothing This how they repay the kindness mindless anarchy People laughing and cheering its pathelic This is massive two fingers up the nurses and doctors Pandemic is the priority everything is secondary at the minute,Hope_speech
Beautiful and honest interview She has taught me so much She continues to fight the haters Inspiring me always,Hope_speech
Im Biesexual and didnt even have to come out my mom just figured it out lolnnnnnI feel bad for him thoughsad,Hope_speech
she saved my life too and am not exaggerating,Hope_speech
If you dont want kids to understand what other people have gone through then dont watch and its not brainwashing its telling kids whats wrong with religious people who take it to seriously,Hope_speech
Tian Im with you sis Im half Asian and latinos is time to stand up for our other minorities ouse they matter as well ALL LIVES MATTERS,Hope_speech
My AP Computer science class in high school has pretty balanced maletofemale ratio,Hope_speech
All lives matter we are all gods children,Hope_speech
could care lessmy kids lives matterand hardly anyone elses,Hope_speech
We are all Childs of God STOP politics divide us,Hope_speech
God gave us choice My choice is to love Im not crying Youre crying What lovely young person,Hope_speech
just wanted to send you ie Debbie word of encouragement,Hope_speech
Im 29yearold trans man and guarantee that wouldve said the things Annie said when was about 13 years old,Hope_speech
Every Life Matters,Hope_speech
dont agree with homosexuality but have friends who are homosexualnnThats like white person saying theyre racist but they have black,Hope_speech
Im computer science major and feel the same way Im often visibly one of only two or three assume women in the lectures of 100 Computing related students,Hope_speech
Crystal needs to rule THE WHOLE WORLD she is so so mature wanna conatulate her parents,Hope_speech
Im black american and agree with you All lives matter cause God would want us to say and stand by that,Hope_speech
want to add that this is highly inspiring to that choice,Hope_speech
Never was great fan but this does change my opinion of her,Hope_speech
IT IS NOT BOYS CLUBSOME ENGINEERS ARE FEMALE,Hope_speech
Beautiful interview She has done so much for the LGBTQ community over her 35year music career This was such genuine and heartfelt interview What beautiful person she is,Hope_speech
This video really inspired me Im computer science major and Ive been in the same boat my whole life loved Legos as kid but people around me really pushed gender roles,Hope_speech
My husband is male nurse,Hope_speech
Im Christian but agree and support homosexuality and the LGBTQ community understand that everyone is different and is free to believe in what they want but if you are against homosexuality because of the bible then simply think of how God would much prefer you to spread kindness than hate At the end of the day if you dont agree with it then simply keep it to yourself and think before you spread hate,Hope_speech
All Lives Matter,Hope_speech
ALL lives matterincluding the unborn,Hope_speech
All Lives Matter The color does not determine persons worth,Hope_speech
When my mom suggested to me to become civil engineer pictured myself this strong smart woman in suits designing beautiful constructions visiting the site and giving instructions to the workers It sounded pretty amazing as girl who will be doing such things And right now Im on the path to become an engineer but sometimes really do feel lonely and discouraged though These kind of talks really inspire and sharpen me lot Thank you so much And what you are doing right now is so great Debbie,Hope_speech
Shetty yes great one no what it takes to be an engineerI am also female mechanical engineering,Hope_speech
Im doing STEM and we have 19 students in our class,Hope_speech
out of 10 She uses her platform And were better off because of it,Hope_speech
Wafae Stop blaming men for womens choices of not getting into engineering and computer science,Hope_speech
Only one race the Human Race,Hope_speech
These protesters have completely disregarded the feelings of the majority of the people who dont want the statue to be removed And when these people actually did take it down they end up throwing it in the river Like that is the example modern society is supposed to be taking when we are all meant to be more environmentally conscious about dumping hope they are able to fish it out of the river,Hope_speech
Hes so brave and think hes great for always being honest about who he is to himself and everyone around him,Hope_speech
nobody said you can only be those two things Of course trans people can be gay,Hope_speech
How easy is it to amend the constitution to remove term limits Im not American so wouldnt know feel as long as the president is democratically elected,Hope_speech
Conversion therapy is torture The government should close all of those centers,Hope_speech
am pursuing electrical engineering and donno why this brought me in tears,Hope_speech
People should never have to be ashamed of their race or anything else None of us are responsible for what people in the past did We are responsible for what we do in our present ALL LIVES MATTER Thanks for your post Zackary,Hope_speech
How about Black lives are equal Because they are still the center of the topic and they just seek equality which this country has proven not to have given them in the past,Hope_speech
Apparently yeeting out of the closet means that you arent catholicChristian anymore Im Pansexual and still Catholic and am in relationship with another boy Love ya Flamingo,Hope_speech
Its amazing felt compelled to comment after being truly inspired by this woman,Hope_speech
My choice is to love nnHi Im Mike Pence,Hope_speech
Also in my country female students are better than male students in every lesson Its not because they are less than girls,Hope_speech
Its Maya did say BL dont am an immigrant in this country and know more than someone else what it is like to be different But will keep saying that ALL LIVES MATTER ASIAN who was discriminated because of covid BTW,Hope_speech
loved every word she said,Hope_speech
They should say Black lives matter toonI agree with you that all lives matter but it fails to point out that black lives were not equal in value to whitesnbased on history Sadly,Hope_speech
The child who said choose to love is so precious and enlightened hope more people are like them,Hope_speech
Im 14 and in my school Im in special class for STEM students We have 22 students in the class and of us are girls And yes the boys do think that they are so much better than us,Hope_speech
Only black life is matter WHEN it should be EVERY LIFE IS MATTER nPlease dont start riot and looting destroy in name of others like its happen in UK and America Its discussing Protest peacefully No one should be above the law no police officers and no protester,Hope_speech
Women today so physical labour lot more od they can do it today they couldve done it back then as wellTHERES NO excuse for not allowing women to vote or get education and sell them like property you fucking moron,Hope_speech
Very well said Gentlemen All lives matter Bernie wanted to vote for you but not no more because ALSO MATTER am Hispanic,Hope_speech
live in indian am 17 electronics commuation enggi have choosen am very proud hope its intresting feild,Hope_speech
Is this more of problem in the west Because if you visit other countries there are many female engineers and science majors,Hope_speech
Cobb Your statement is only partially correct Whilst it is illegal to hold an adult against their will with the intent to convert them,Hope_speech
Stone Agreed She really should have gotten it first Bill Clinton certainly did advocate for LGBTQ rights but not until much later Madonna was doing it long before it was fashionable,Hope_speech
Slavery the most heinous and disgusting crimes ever We cant honour slave traders as heroes,Hope_speech
Oh for the love of God ALL LIVES MATTER will not apologize for saying this Im an RN for 30 yrs treat ALL lives with empathy compassion,Hope_speech
This video is so inspiring cant wait to start engineering in university in September,Hope_speech
God Bless all the Police risking their lives everyday protecting our communities and restoring order,Hope_speech
know You should treat people as people and not colors,Hope_speech
Spot on bro People divide instead of unite And that is what the elite wants This war agaist races is total bs All lives should matter There are bad and good people of all ethinicity,Hope_speech
But you can be girly and know lot of technical stuff,Hope_speech
BLACK LIVES MATTER IS Racist statement which pushes narrative of hate and violence IDENTIFYING HUMAN BEINGS BY THEIR SKIN COLOR IS RACIST Besides dont think that ever met BLACK person Your skin Color is not black if you really want to go there,Hope_speech
Maybe lets stop assuming wether Annie will come out or not Kinda unfair to assume wether someone is LGBT based on the way someone looks,Hope_speech
think this is amazing Inspiring young girls What the heck is everyone complaining about This woman is my role model,Hope_speech
Everyones life SHOULD matter Clearly black people in usa overall do not share this EXP Maybe ask them why they say BLM Maybe to them they see place that does not value their lives,Hope_speech
starrynight0621 Ive never faced any kind of sexism at my school but because Im the best at maths and science in my class the boys cant exactly say its boy thing,Hope_speech
This woman changed the world and keeps changing it Including my life Thank you,Hope_speech
When was young was given dolls and kitchencooking toys but was more interested in creating my own miniature houses out of cardboard boxes With it had the option to put what want in my housesstructures It was much more fun to be able to create somethingnnI also loved drawing and started it young but then thought my drawings were different than my classmates and was too shy for anything so had to match my drawings to the theirs because was too scared to be bullied again was bullied sometimes was scared to be good at what do because would grab attention if didnIt just made me put away my interests as if these were not big deal and grew up thinking do not deserve to shine and beyter just be in the shadows and live passive lifenI regret it,Hope_speech
All lives matter includes black lives,Hope_speech
Every being is essentially justified by the mere fact it exists That is universal truth Then beings come to relative arrangements among themselves,Hope_speech
Ive always wanted to become an engineer,Hope_speech
Im studying Mechanical Engineering and this has boosted up my mood years later,Hope_speech
All life is from God not just black,Hope_speech
Diana finally an opened minded Christian thank god for you We need more people like you in this world,Hope_speech
Im bissexual conversion therapy surviver,Hope_speech
And we are happy you are not giving up on us,Hope_speech
All lives matter white black all human life is precious,Hope_speech
Jonathan Mason could also agree on one thing agree to disagree because no matter how many ways someone says something Im always going to think all lives matter because were all lives matter means is you matter other personal matters the world matters nobody should be treated like they dont matter when it comes down to it its all about ethics In fairness at the end of the day isnt that racisms weakness let me tell you this its not just about me its about everyone including yourself you should have right be treated fairly and dont have anything against you just saying believe the answer to getting rid of racism fairness caring about everyone no matter what their color is everybodys life matters including you care about even whats fair your side my side their side because dont like racism rather be solution to the problem then sit there and tell people but only my life matters when in reality thats bunch of baloney it doesnt matter what color you are your life matters and youre important as anybody else how could that be bad thing,Hope_speech
That is absolutely contradiction though Apples are real But you cant disagree with apples Homosexuality is real And you cant disagree with it,Hope_speech
took up an Industrial Engineering course long time ago didnt finish my course 1st year to 3rd year was doubting myself that cannot make it to the final year and when reached the 4th year that was the moment that was so eager to finish the course but unfortunately wasnt able to enrol for 2nd semester due to financial challenges When the speaker said that they were on female students in the classI remembered those days when we were also girls and no excuses on all of our classes and demos am now 36 years old dont see myself going back to study and continue the same course but really wish did,Hope_speech
god gave us choice,Hope_speech
