Text,Class,image
Rose Homosexuality cant be changed nor is it choice,Hope_speech,Images_SD/SD_HS_0001.jpg
The most important thing in the bible is to love,Hope_speech,Images_SD/SD_HS_0002.jpg
Female engineer in the making and Im loving every step of the journey,Hope_speech,Images_SD/SD_HS_0003.jpg
am abhorred by what happened to George Floyd am white and am not racist But it is clear that racists have usurped this movement They are racists against freedom and against our constitutional liberties These racists want to destroy everything that has been gained for blacks and for whites in this country They want to bring tyranny and oppression giving control to the Democratic Left who have oppressed so many for so long Stand up America And stop them now,Hope_speech,Images_SD/SD_HS_0004.jpg
There are lot of adults that could learn from these kids Great job parents,Hope_speech,Images_SD/SD_HS_0005.jpg
Beautiful interview She has done so much for the LGBTQ community over her 35year music career This was such genuine and heartfelt interview What beautiful person she is,Hope_speech,Images_SD/SD_HS_0006.jpg
Why cant you say all lives matter but you can say black lives matter thats bit selfish,Hope_speech,Images_SD/SD_HS_0007.jpg
Emilia girls being engineers are common in my country,Hope_speech,Images_SD/SD_HS_0008.jpg
think it took her while to realize that she can approach things in different way not the way that she went about it,Hope_speech,Images_SD/SD_HS_0009.jpg
This comment is amasing Wishing you more happiness sir and to continue to inspire dreams and aspirations in the minds of these young children,Hope_speech,Images_SD/SD_HS_0010.jpg
Exactly absolute bell ends the lot of them Disgraceful behaviour and it only goes against them and there cause Most of these probates have been on ten week holiday and getting 80 of there wages while doing nothing This how they repay the kindness mindless anarchy People laughing and cheering its pathelic This is massive two fingers up the nurses and doctors Pandemic is the priority everything is secondary at the minute,Hope_speech,Images_SD/SD_HS_0011.jpg
Beautiful and honest interview She has taught me so much She continues to fight the haters Inspiring me always,Hope_speech,Images_SD/SD_HS_0012.jpg
Im Biesexual and didnt even have to come out my mom just figured it out lolnnnnnI feel bad for him thoughsad,Hope_speech,Images_SD/SD_HS_0013.jpg
she saved my life too and am not exaggerating,Hope_speech,Images_SD/SD_HS_0014.jpg
If you dont want kids to understand what other people have gone through then dont watch and its not brainwashing its telling kids whats wrong with religious people who take it to seriously,Hope_speech,Images_SD/SD_HS_0015.jpg
Tian Im with you sis Im half Asian and latinos is time to stand up for our other minorities ouse they matter as well ALL LIVES MATTERS,Hope_speech,Images_SD/SD_HS_0016.jpg
My AP Computer science class in high school has pretty balanced maletofemale ratio,Hope_speech,Images_SD/SD_HS_0017.jpg
All lives matter we are all gods children,Hope_speech,Images_SD/SD_HS_0018.jpg
could care lessmy kids lives matterand hardly anyone elses,Hope_speech,Images_SD/SD_HS_0019.jpg
We are all Childs of God STOP politics divide us,Hope_speech,Images_SD/SD_HS_0020.jpg
God gave us choice My choice is to love Im not crying Youre crying What lovely young person,Hope_speech,Images_SD/SD_HS_0021.jpg
just wanted to send you ie Debbie word of encouragement,Hope_speech,Images_SD/SD_HS_0022.jpg
Im 29yearold trans man and guarantee that wouldve said the things Annie said when was about 13 years old,Hope_speech,Images_SD/SD_HS_0023.jpg
Every Life Matters,Hope_speech,Images_SD/SD_HS_0024.jpg
dont agree with homosexuality but have friends who are homosexualnnThats like white person saying theyre racist but they have black,Hope_speech,Images_SD/SD_HS_0025.jpg
Im computer science major and feel the same way Im often visibly one of only two or three assume women in the lectures of 100 Computing related students,Hope_speech,Images_SD/SD_HS_0026.jpg
Crystal needs to rule THE WHOLE WORLD she is so so mature wanna conatulate her parents,Hope_speech,Images_SD/SD_HS_0027.jpg
Im black american and agree with you All lives matter cause God would want us to say and stand by that,Hope_speech,Images_SD/SD_HS_0028.jpg
want to add that this is highly inspiring to that choice,Hope_speech,Images_SD/SD_HS_0029.jpg
Never was great fan but this does change my opinion of her,Hope_speech,Images_SD/SD_HS_0030.jpg
IT IS NOT BOYS CLUBSOME ENGINEERS ARE FEMALE,Hope_speech,Images_SD/SD_HS_0031.jpg
Beautiful interview She has done so much for the LGBTQ community over her 35year music career This was such genuine and heartfelt interview What beautiful person she is,Hope_speech,Images_SD/SD_HS_0032.jpg
This video really inspired me Im computer science major and Ive been in the same boat my whole life loved Legos as kid but people around me really pushed gender roles,Hope_speech,Images_SD/SD_HS_0033.jpg
My husband is male nurse,Hope_speech,Images_SD/SD_HS_0034.jpg
Im Christian but agree and support homosexuality and the LGBTQ community understand that everyone is different and is free to believe in what they want but if you are against homosexuality because of the bible then simply think of how God would much prefer you to spread kindness than hate At the end of the day if you dont agree with it then simply keep it to yourself and think before you spread hate,Hope_speech,Images_SD/SD_HS_0035.jpg
All Lives Matter,Hope_speech,Images_SD/SD_HS_0036.jpg
ALL lives matterincluding the unborn,Hope_speech,Images_SD/SD_HS_0037.jpg
All Lives Matter The color does not determine persons worth,Hope_speech,Images_SD/SD_HS_0038.jpg
When my mom suggested to me to become civil engineer pictured myself this strong smart woman in suits designing beautiful constructions visiting the site and giving instructions to the workers It sounded pretty amazing as girl who will be doing such things And right now Im on the path to become an engineer but sometimes really do feel lonely and discouraged though These kind of talks really inspire and sharpen me lot Thank you so much And what you are doing right now is so great Debbie,Hope_speech,Images_SD/SD_HS_0039.jpg
Shetty yes great one no what it takes to be an engineerI am also female mechanical engineering,Hope_speech,Images_SD/SD_HS_0040.jpg
Im doing STEM and we have 19 students in our class,Hope_speech,Images_SD/SD_HS_0041.jpg
out of 10 She uses her platform And were better off because of it,Hope_speech,Images_SD/SD_HS_0042.jpg
Wafae Stop blaming men for womens choices of not getting into engineering and computer science,Hope_speech,Images_SD/SD_HS_0043.jpg
Only one race the Human Race,Hope_speech,Images_SD/SD_HS_0044.jpg
These protesters have completely disregarded the feelings of the majority of the people who dont want the statue to be removed And when these people actually did take it down they end up throwing it in the river Like that is the example modern society is supposed to be taking when we are all meant to be more environmentally conscious about dumping hope they are able to fish it out of the river,Hope_speech,Images_SD/SD_HS_0045.jpg
Hes so brave and think hes great for always being honest about who he is to himself and everyone around him,Hope_speech,Images_SD/SD_HS_0046.jpg
nobody said you can only be those two things Of course trans people can be gay,Hope_speech,Images_SD/SD_HS_0047.jpg
How easy is it to amend the constitution to remove term limits Im not American so wouldnt know feel as long as the president is democratically elected,Hope_speech,Images_SD/SD_HS_0048.jpg
Conversion therapy is torture The government should close all of those centers,Hope_speech,Images_SD/SD_HS_0049.jpg
am pursuing electrical engineering and donno why this brought me in tears,Hope_speech,Images_SD/SD_HS_0050.jpg
People should never have to be ashamed of their race or anything else None of us are responsible for what people in the past did We are responsible for what we do in our present ALL LIVES MATTER Thanks for your post Zackary,Hope_speech,Images_SD/SD_HS_0051.jpg
How about Black lives are equal Because they are still the center of the topic and they just seek equality which this country has proven not to have given them in the past,Hope_speech,Images_SD/SD_HS_0052.jpg
Apparently yeeting out of the closet means that you arent catholicChristian anymore Im Pansexual and still Catholic and am in relationship with another boy Love ya Flamingo,Hope_speech,Images_SD/SD_HS_0053.jpg
Its amazing felt compelled to comment after being truly inspired by this woman,Hope_speech,Images_SD/SD_HS_0054.jpg
My choice is to love nnHi Im Mike Pence,Hope_speech,Images_SD/SD_HS_0055.jpg
Also in my country female students are better than male students in every lesson Its not because they are less than girls,Hope_speech,Images_SD/SD_HS_0056.jpg
Its Maya did say BL dont am an immigrant in this country and know more than someone else what it is like to be different But will keep saying that ALL LIVES MATTER ASIAN who was discriminated because of covid BTW,Hope_speech,Images_SD/SD_HS_0057.jpg
loved every word she said,Hope_speech,Images_SD/SD_HS_0058.jpg
They should say Black lives matter toonI agree with you that all lives matter but it fails to point out that black lives were not equal in value to whitesnbased on history Sadly,Hope_speech,Images_SD/SD_HS_0059.jpg
The child who said choose to love is so precious and enlightened hope more people are like them,Hope_speech,Images_SD/SD_HS_0060.jpg
Im 14 and in my school Im in special class for STEM students We have 22 students in the class and of us are girls And yes the boys do think that they are so much better than us,Hope_speech,Images_SD/SD_HS_0061.jpg
Only black life is matter WHEN it should be EVERY LIFE IS MATTER nPlease dont start riot and looting destroy in name of others like its happen in UK and America Its discussing Protest peacefully No one should be above the law no police officers and no protester,Hope_speech,Images_SD/SD_HS_0062.jpg
Women today so physical labour lot more od they can do it today they couldve done it back then as wellTHERES NO excuse for not allowing women to vote or get education and sell them like property you fucking moron,Hope_speech,Images_SD/SD_HS_0063.jpg
Very well said Gentlemen All lives matter Bernie wanted to vote for you but not no more because ALSO MATTER am Hispanic,Hope_speech,Images_SD/SD_HS_0064.jpg
live in indian am 17 electronics commuation enggi have choosen am very proud hope its intresting feild,Hope_speech,Images_SD/SD_HS_0065.jpg
Is this more of problem in the west Because if you visit other countries there are many female engineers and science majors,Hope_speech,Images_SD/SD_HS_0066.jpg
Cobb Your statement is only partially correct Whilst it is illegal to hold an adult against their will with the intent to convert them,Hope_speech,Images_SD/SD_HS_0067.jpg
Stone Agreed She really should have gotten it first Bill Clinton certainly did advocate for LGBTQ rights but not until much later Madonna was doing it long before it was fashionable,Hope_speech,Images_SD/SD_HS_0068.jpg
Slavery the most heinous and disgusting crimes ever We cant honour slave traders as heroes,Hope_speech,Images_SD/SD_HS_0069.jpg
Oh for the love of God ALL LIVES MATTER will not apologize for saying this Im an RN for 30 yrs treat ALL lives with empathy compassion,Hope_speech,Images_SD/SD_HS_0070.jpg
This video is so inspiring cant wait to start engineering in university in September,Hope_speech,Images_SD/SD_HS_0071.jpg
God Bless all the Police risking their lives everyday protecting our communities and restoring order,Hope_speech,Images_SD/SD_HS_0072.jpg
know You should treat people as people and not colors,Hope_speech,Images_SD/SD_HS_0073.jpg
Spot on bro People divide instead of unite And that is what the elite wants This war agaist races is total bs All lives should matter There are bad and good people of all ethinicity,Hope_speech,Images_SD/SD_HS_0074.jpg
But you can be girly and know lot of technical stuff,Hope_speech,Images_SD/SD_HS_0075.jpg
BLACK LIVES MATTER IS Racist statement which pushes narrative of hate and violence IDENTIFYING HUMAN BEINGS BY THEIR SKIN COLOR IS RACIST Besides dont think that ever met BLACK person Your skin Color is not black if you really want to go there,Hope_speech,Images_SD/SD_HS_0076.jpg
Maybe lets stop assuming wether Annie will come out or not Kinda unfair to assume wether someone is LGBT based on the way someone looks,Hope_speech,Images_SD/SD_HS_0077.jpg
think this is amazing Inspiring young girls What the heck is everyone complaining about This woman is my role model,Hope_speech,Images_SD/SD_HS_0078.jpg
Everyones life SHOULD matter Clearly black people in usa overall do not share this EXP Maybe ask them why they say BLM Maybe to them they see place that does not value their lives,Hope_speech,Images_SD/SD_HS_0079.jpg
starrynight0621 Ive never faced any kind of sexism at my school but because Im the best at maths and science in my class the boys cant exactly say its boy thing,Hope_speech,Images_SD/SD_HS_0080.jpg
This woman changed the world and keeps changing it Including my life Thank you,Hope_speech,Images_SD/SD_HS_0081.jpg
When was young was given dolls and kitchencooking toys but was more interested in creating my own miniature houses out of cardboard boxes With it had the option to put what want in my housesstructures It was much more fun to be able to create somethingnnI also loved drawing and started it young but then thought my drawings were different than my classmates and was too shy for anything so had to match my drawings to the theirs because was too scared to be bullied again was bullied sometimes was scared to be good at what do because would grab attention if didnIt just made me put away my interests as if these were not big deal and grew up thinking do not deserve to shine and beyter just be in the shadows and live passive lifenI regret it,Hope_speech,Images_SD/SD_HS_0082.jpg
All lives matter includes black lives,Hope_speech,Images_SD/SD_HS_0083.jpg
Every being is essentially justified by the mere fact it exists That is universal truth Then beings come to relative arrangements among themselves,Hope_speech,Images_SD/SD_HS_0084.jpg
Ive always wanted to become an engineer,Hope_speech,Images_SD/SD_HS_0085.jpg
Im studying Mechanical Engineering and this has boosted up my mood years later,Hope_speech,Images_SD/SD_HS_0086.jpg
All life is from God not just black,Hope_speech,Images_SD/SD_HS_0087.jpg
Diana finally an opened minded Christian thank god for you We need more people like you in this world,Hope_speech,Images_SD/SD_HS_0088.jpg
Im bissexual conversion therapy surviver,Hope_speech,Images_SD/SD_HS_0089.jpg
And we are happy you are not giving up on us,Hope_speech,Images_SD/SD_HS_0090.jpg
All lives matter white black all human life is precious,Hope_speech,Images_SD/SD_HS_0091.jpg
Jonathan Mason could also agree on one thing agree to disagree because no matter how many ways someone says something Im always going to think all lives matter because were all lives matter means is you matter other personal matters the world matters nobody should be treated like they dont matter when it comes down to it its all about ethics In fairness at the end of the day isnt that racisms weakness let me tell you this its not just about me its about everyone including yourself you should have right be treated fairly and dont have anything against you just saying believe the answer to getting rid of racism fairness caring about everyone no matter what their color is everybodys life matters including you care about even whats fair your side my side their side because dont like racism rather be solution to the problem then sit there and tell people but only my life matters when in reality thats bunch of baloney it doesnt matter what color you are your life matters and youre important as anybody else how could that be bad thing,Hope_speech,Images_SD/SD_HS_0092.jpg
That is absolutely contradiction though Apples are real But you cant disagree with apples Homosexuality is real And you cant disagree with it,Hope_speech,Images_SD/SD_HS_0093.jpg
took up an Industrial Engineering course long time ago didnt finish my course 1st year to 3rd year was doubting myself that cannot make it to the final year and when reached the 4th year that was the moment that was so eager to finish the course but unfortunately wasnt able to enrol for 2nd semester due to financial challenges When the speaker said that they were on female students in the classI remembered those days when we were also girls and no excuses on all of our classes and demos am now 36 years old dont see myself going back to study and continue the same course but really wish did,Hope_speech,Images_SD/SD_HS_0094.jpg
god gave us choice,Hope_speech,Images_SD/SD_HS_0095.jpg
This video was so inspiring But now Im in rough patch Im teenager going into my first year of High School signed up for Shop class but now am highly regretting it due to the amount of guys there will be and the lack of knowledge have guess was lucky according to this video,Hope_speech,Images_SD/SD_HS_0096.jpg
this made me cry very inspiring,Hope_speech,Images_SD/SD_HS_0097.jpg
Hates not going to get you anywhere in the world,Hope_speech,Images_SD/SD_HS_0098.jpg
Im lesbian and Im so glad that didnt have to go through this Im sorry you had to go through this mean technically Im only out to my friends and my Mam and brother Im kinda scared to come out to the rest of my family,Hope_speech,Images_SD/SD_HS_0099.jpg
Madonna has been an advocate from day dot She fought so hard for and with LGBT people She is an icon and legend in every sense of the word Her heart is so pure,Hope_speech,Images_SD/SD_HS_0100.jpg
The Democratic Party is more dangerous to America than ISIS,Hope_speech,Images_SD/SD_HS_0101.jpg
ETERNAL INSPIRATION nSHE SAVE MY LIFE,Hope_speech,Images_SD/SD_HS_0102.jpg
saw it just now Like where have been This is amazing,Hope_speech,Images_SD/SD_HS_0103.jpg
pats you on the back its okay,Hope_speech,Images_SD/SD_HS_0104.jpg
Lives Matter If you have to have color before those two words youre racist,Hope_speech,Images_SD/SD_HS_0105.jpg
God bless So happy that got out of all that stronger person God is love And love is love,Hope_speech,Images_SD/SD_HS_0106.jpg
love this video lot So inspiring wanna be computer engineer someday but dont like math and science but Im not bad at it In fact my grade ranges from 91 and up in both areas They say just need practice to be really good in it,Hope_speech,Images_SD/SD_HS_0107.jpg
Black lives matter Im white person but are you know that black people are still good just because we have different skin color doesnt mean people everybodys people on this planet,Hope_speech,Images_SD/SD_HS_0108.jpg
like her creation Keep dreaming girl,Hope_speech,Images_SD/SD_HS_0109.jpg
