Text,Class
these tiktoks radiate gay chaotic energy and love it,Non_hope_speech
Again He got killed for using false money,Non_hope_speech
Its not that all lives dont matter,Non_hope_speech
Is it really that difficult to understand Black lives matter and all lives matter are not mutually exclusive They are both true as general statements So are white lives matter and asian lives matter Black lives matter in this context is simply the name of movement against the strangely high rate of police violence on black people and the statement is referring to those who behave like and treat black people as if they dont matter For example,Non_hope_speech
Whenever we say black isnt that racists Why dont just say Americans,Non_hope_speech
Ros The Boss dont know that shes actually lgbtq tho so,Non_hope_speech
That was funny at the end when Larry said What are we arguing about then haha but that said,Non_hope_speech
She saves lives with her music,Non_hope_speech
There were lot of Samoans in my Army unit,Non_hope_speech
Network Engineer here 23 and currently working as an instructor teaching men and women looking to be in IT Next want to teach at University,Hope_speech
There is justice for the natives the government literally pays us,Non_hope_speech
shes in the closet,Non_hope_speech
Injustice is the way the world works millionaire paying someone few dollars to wash his car is injustice,Non_hope_speech
Gray The Prime Minister of Holland,Non_hope_speech
Madonna wouldnt be here if her mother had her attitude,Non_hope_speech
Just Tea all lives are equal is the same thing as all lives matter,Non_hope_speech
the tech industry is tough for everyone Most people are pushed hard and treated like garbage,Non_hope_speech
Why does BLM only come around every years,Non_hope_speech
Funny thing is,Non_hope_speech
Im still hiding my gender to my parents and they dont know Im dating someone My friends knows already about my gender and they are very supportive of it And Im very thankful to find true friends like them,Hope_speech
all lives matter without that we never have peace so to me forever all lives matter,Hope_speech
Clark thank you salute you,Non_hope_speech
Brown It makes it seem like my opinion doesnt matter when someone gets attacked for holding All Lives Matter sign,Non_hope_speech
Yall talking lesbian but think it more likely thats shell come out as trans,Non_hope_speech
France France think youre the one being dumb Its actually very simple Did you not know all lives include black lives If you have basic understanding of the English language you should understand that,Non_hope_speech
love how people like you read comment that goes against your agenda and spat instantly zero evidence when all you need to do is type we are trained marxists blm and boom there you go,Non_hope_speech
Randomgirlwhosings0804 Why does she feel the need to have to agree or not agree with someones sexuality Why does any Christian its really weird there is nothing for you to agree with,Hope_speech
the people who would normally be saying whu are all the disney princesses setting unrealistic standards for young girls are now saying that having fat guy who happens to have darkish skin is racest the rock is the voice actor for the character and he seems to be fine with it Next lets say big hero six is racest because it is slightly japanese and hero is fat sometimes its not like mr incredible who is white and sorta chubby got this kinda shit,Non_hope_speech
Excatly Do you know that in South Korea in almost every school there they teach Americans as racist,Non_hope_speech
The big ones stop ruling when the small ones stop crawlingnn2020 The year of the modern revolution,Non_hope_speech
think at that time,Non_hope_speech
About performing at Eurovision in Tel Aviv,Non_hope_speech
Is it wrong laughed when he said beaten with the Bible,Non_hope_speech
All Im gunna say is was Presbyterian and didnt agree with homosexuality before came out,Non_hope_speech
Thank you Madonna for EVERYTHING Youve helped me grow up as kid in West Philadelphia You inspired me greatly Much respect and love Queen of Pop MadameX,Non_hope_speech
When youve turnoff the reasonable people,Non_hope_speech
Rightthats what he said You have it all right,Non_hope_speech
she is not 60 He is 60,Non_hope_speech
the Tea sis and thats the tea,Non_hope_speech
White lives matter is considered racist as hell so why isnt Black Lives matter racist also,Non_hope_speech
The whole thing is jokelol all black lives matterand the democrats are laughing at the suckers following them down the path to socialismcrush black lives matter ALL LIVES MATTER Its political move by the democratic socialist partyMAGA The media is telling and showing you what the dems want them toexcept Fox Newsgood job,Non_hope_speech
Sunshine littlephilly cant even imagine how your thought process works Do you not have the capability to shape your own opinion Especially on topic that DOES in fact hurt homosexual people Whether you believe they should be harmed or not has nothing to do with it When you publicly state person is wrong for just living their life,Non_hope_speech
