Text,Class,image
The lgbtq helped launched Madonna and the fact she basically knowdlgeses it every time in her song and in her daily life is iconic,Hope_speech,images/IHS_0001.jpg
Why would you starve child because of something as simple as who they love,Hope_speech,images/IHS_0002.jpg
Im 14 year old girl and dream everyday of being an engineer,Hope_speech,images/IHS_0003.jpg
All lives matter black white brown whatever race you are you matter thats all,Hope_speech,images/IHS_0004.jpg
Career choices depend on personality differences and result in differences in interest Women have different personalities than men and therefore they choose careers based around people 60 of the time Men choose careers based around things 60 of the time Its biology not culture If woman feels like she doesnt fit in ANYWHERE,Hope_speech,images/IHS_0005.jpg
Saying All lives matter can be offensive for the same reason black lives matter can be offensive to some Black Lives Matter is an offensive saying because to some it insinuates that the majority of non blacks think that black lives dont matter and that the majority of non blacks are racist when there is absolutely no physical evidence to support that thought So obviously to non racist non black that is grossly offensive notion Now All Lives Matter can be offensive to some blacks because to them it insinuates that they only care about black lives and that theyre saying other lives dont matter when if you actually try comprehend their perspective,Hope_speech,images/IHS_0006.jpg
saw this years ago and this deadass inspired me to go into software engineering Currently in my second year,Hope_speech,images/IHS_0007.jpg
and we dont hate people for who they are like she said your looking at it wrong We dont hate we just leave you alone It simply means you do you but we arent apart of it For example ALL of my friends are apart of the LGBTQ even my best friends and Im christian Just because we are straight and religious doesnt mean we are monsters we are humans too,Hope_speech,images/IHS_0008.jpg
came out of the closet to my mom about me being pansexuashe umis kind of supportive she still prefers if marry guy when Im older tho actually have girlfriend rn and donno how to tell her think she might ge the one,Hope_speech,images/IHS_0009.jpg
Why do people take homosexuality as something bad Its natural,Hope_speech,images/IHS_0010.jpg
When told my teacher wanted to be an engineer he assumed wanted to do that so could find guy to marry because you know the majority is guys so yeah thats sad,Hope_speech,images/IHS_0011.jpg
Me too am studying civil engineering And love itand classical music too,Hope_speech,images/IHS_0012.jpg
Engineering drawing has me that way too,Hope_speech,images/IHS_0013.jpg
stop assuming the sexuality of the girl that disagrees with homosexuality its not our business to label her as queer in denial or something no matter what she identifies with is attracted to,Hope_speech,images/IHS_0014.jpg
All lives mattereverything else is blatant evil racism,Hope_speech,images/IHS_0015.jpg
There are lots of people that get depression and comit suicide after conversion therapy,Hope_speech,images/IHS_0016.jpg
dont care about the color of someones skin dont care if your black,Hope_speech,images/IHS_0017.jpg
Good Thats real woman empowerment keep it up,Hope_speech,images/IHS_0018.jpg
think the best way to fit in is to be yourself work hard and dont accept immature behavior by men or womenThe truth is you do want to be pretty it is natural want to be handsome but dont let this thought drive my beingStop blaming your surroundings,Hope_speech,images/IHS_0019.jpg
Its good that YOU think ALL lives matter,Hope_speech,images/IHS_0020.jpg
Bbm add11 nI dont think conversion therapy is helpful to people regardless if they could choose it or not For dont even think it is real therapy it would be trying to force someone to be something theyre not is that really therapy Also dont think the therapy that this guy is talking about is very good for you mentally,Hope_speech,images/IHS_0021.jpg
You dont get to agree not disagree with another persons sexuality or existence No idea why socalled Christians think they are entitled to have say in other peoples livesdidnt Jesus say judge not lest he be judged,Hope_speech,images/IHS_0022.jpg
hate the dont agree with homosexuality argument like Thats like saying dont agree with that tree over there Like Its just thing that exists and cant be changed,Hope_speech,images/IHS_0023.jpg
chose love too,Hope_speech,images/IHS_0024.jpg
Cat Jones do agree but also think there are some problems with this protest such as destruction of property That means people would see them as threat not someone who you can reason with,Hope_speech,images/IHS_0025.jpg
ass here are too many trolls who even give LGBT bad light Its just embarrassing and shows what low IQ they got,Hope_speech,images/IHS_0026.jpg
They just meanBlack lives matter toobecause over looked alot in pastat timesthats all they meanduhhhhh Of course everyone knows all lives matter even animals,Hope_speech,images/IHS_0027.jpg
The sad thing is this is the least abusive conversion therapy Ive ever heard of My friends have scars and burns where they were shocked and burned and tortured It was so bad that you have to pretend to change to get away from it There is no shame in lying to end the torture wasnt put in that situation but was homeless for bit,Hope_speech,images/IHS_0028.jpg
really wish black loves matter was originally called all lives matter or something else at the end of the day the american constitution says all lives are equal regardless of race,Hope_speech,images/IHS_0029.jpg
The lgbtq helped launched Madonna and the fact she basically knowdlgeses it every time in her song and in her daily life is iconic,Hope_speech,images/IHS_0030.jpg
In the eyes of God there is no color,Hope_speech,images/IHS_0031.jpg
Im man She is beautiful and sure she is just as good as any man engineer,Hope_speech,images/IHS_0032.jpg
STOP USING RELIGION TO HATE ON PEOPLE ITS STUPID AND HARSH,Hope_speech,images/IHS_0033.jpg
ELM Every life matters,Hope_speech,images/IHS_0034.jpg
Ive never been fan of Madonnas music nor do like her personality but do love that she has been great friend to the LGBTQ community Also,Hope_speech,images/IHS_0035.jpg
EVERYONE SHOULD RESPECT HER SHE IS TRUE ARTIST,Hope_speech,images/IHS_0036.jpg
Did you not watch the video lolnnWhat the fuck is up with you people who dont watch the video SHES FUCKING ENGINEER so its NOT IMPOSSIBLE BECAUSE SHE ALREADY IS ONE swear youd only think something was impossible if no one has ever done it,Hope_speech,images/IHS_0037.jpg
Is he teacher Because he explains concepts so well to children What wonderful person,Hope_speech,images/IHS_0038.jpg
if all lives matter to guys,Hope_speech,images/IHS_0039.jpg
All life on the planet is the most precious thing God has given anyone or anything once it is gone that is it so remember this and quit fighting over it all life matters right from the smallest tiny thing to the most ignorant thing on the planet that is most fun in lightning and unwoke the human being :thinking face::thinking face::face with raised eyebrow:,Hope_speech,images/IHS_0040.jpg
ALL Lives Matter including the Unborn,Hope_speech,images/IHS_0041.jpg
She is my new role model,Hope_speech,images/IHS_0042.jpg
Reynolds You cannot change persons sexual orientation Period Thats why Its something hard wired in the brain,Hope_speech,images/IHS_0043.jpg
honestly why cant we all just get together whether we be black or white,Hope_speech,images/IHS_0044.jpg
Why Parenthood What is the foundation for Parenthood Is my concernAll life matters because our Creator created each one of us,Hope_speech,images/IHS_0045.jpg
