Text,Class
She looks great Greets from Chile,Non_hope_speech
Many Christians see sin as this horrible thing that should be perished from our bodies so that we are all pure and are one with God and Jesus Christ However,Non_hope_speech
These BLM people are not making it easy to like them,Non_hope_speech
Bear noticed you mentioned that slaves was Democratic Party thing wonder how the racist Democratic party elected Obama How did that happen Republicans hated Obama can you explain that,Non_hope_speech
Its sad this stupidity spread around the globe,Non_hope_speech
get taking down the statue but tossing it into the cannel It will cause tax payer money to fish that outmoney that could go to outreach programs or schools,Non_hope_speech
Poor little black people ALL LIVES MATTER,Non_hope_speech
This is one the most remarkable batch of kids Ive seen so far,Non_hope_speech
but what about your great great grandchild,Non_hope_speech
Griffin how is Greek Mythology Witchcraft,Non_hope_speech
Jenny Yao Let me try to make my point different way If we are going to aim for 5050,Non_hope_speech
Thank you Larry,Non_hope_speech
Introvert And yes,Non_hope_speech
Ainura Cc hi Thats the name of the official organization also think if the organization had different name lets say black lives matter too it will still get twisted in order to dilute the meaning agree that all lives matter but people only started saying that AFTER black lives matter became thing,Non_hope_speech
What would jesus say,Non_hope_speech
Who said black matter more,Non_hope_speech
Thank you breathren Ill be there in month,Non_hope_speech
Ray AgenThere is no sexism that you know of,Non_hope_speech
Ok whos ready for an asteroid strike next,Non_hope_speech
My cousin is pansexual Pan sexual Its joke we have,Non_hope_speech
as human being speak for all of us when say we disown you,Non_hope_speech
Lilyx nur actually brainwashed water rider,Non_hope_speech
Its the feminism effect,Non_hope_speech
the biggest beneficiaries and profiters and the creators of the atlantic slave trade were the british,Non_hope_speech
Stay there and dont come in The USA,Non_hope_speech
how can the girl who disagrees with homosexuality look like the biggest lesbian ive ever seen,Non_hope_speech
TJ said something before that even though hes bi he knows most of his subscribers arent so he wouldnt do it,Non_hope_speech
Everybody gangster until one guy start coughing,Non_hope_speech
So many aces am happy,Non_hope_speech
When they started booing at the white life matters that kinds hurted me tho,Non_hope_speech
No This time we ll never forget dont loock back Peter Tosh and Mick Jaggern,Non_hope_speech
