Text,Class
The lgbtq helped launched Madonna and the fact she basically knowdlgeses it every time in her song and in her daily life is iconic,Hope_speech
Why would you starve child because of something as simple as who they love,Hope_speech
Im 14 year old girl and dream everyday of being an engineer,Hope_speech
All lives matter black white brown whatever race you are you matter thats all,Hope_speech
Career choices depend on personality differences and result in differences in interest Women have different personalities than men and therefore they choose careers based around people 60 of the time Men choose careers based around things 60 of the time Its biology not culture If woman feels like she doesnt fit in ANYWHERE,Hope_speech
Saying All lives matter can be offensive for the same reason black lives matter can be offensive to some Black Lives Matter is an offensive saying because to some it insinuates that the majority of non blacks think that black lives dont matter and that the majority of non blacks are racist when there is absolutely no physical evidence to support that thought So obviously to non racist non black that is grossly offensive notion Now All Lives Matter can be offensive to some blacks because to them it insinuates that they only care about black lives and that theyre saying other lives dont matter when if you actually try comprehend their perspective,Hope_speech
saw this years ago and this deadass inspired me to go into software engineering Currently in my second year,Hope_speech
and we dont hate people for who they are like she said your looking at it wrong We dont hate we just leave you alone It simply means you do you but we arent apart of it For example ALL of my friends are apart of the LGBTQ even my best friends and Im christian Just because we are straight and religious doesnt mean we are monsters we are humans too,Hope_speech
came out of the closet to my mom about me being pansexuashe umis kind of supportive she still prefers if marry guy when Im older tho actually have girlfriend rn and donno how to tell her think she might ge the one,Hope_speech
Why do people take homosexuality as something bad Its natural,Hope_speech
When told my teacher wanted to be an engineer he assumed wanted to do that so could find guy to marry because you know the majority is guys so yeah thats sad,Hope_speech
Me too am studying civil engineering And love itand classical music too,Hope_speech
Engineering drawing has me that way too,Hope_speech
stop assuming the sexuality of the girl that disagrees with homosexuality its not our business to label her as queer in denial or something no matter what she identifies with is attracted to,Hope_speech
All lives mattereverything else is blatant evil racism,Hope_speech
There are lots of people that get depression and comit suicide after conversion therapy,Hope_speech
dont care about the color of someones skin dont care if your black,Hope_speech
Good Thats real woman empowerment keep it up,Hope_speech
think the best way to fit in is to be yourself work hard and dont accept immature behavior by men or womenThe truth is you do want to be pretty it is natural want to be handsome but dont let this thought drive my beingStop blaming your surroundings,Hope_speech
Its good that YOU think ALL lives matter,Hope_speech
Bbm add11 nI dont think conversion therapy is helpful to people regardless if they could choose it or not For dont even think it is real therapy it would be trying to force someone to be something theyre not is that really therapy Also dont think the therapy that this guy is talking about is very good for you mentally,Hope_speech
You dont get to agree not disagree with another persons sexuality or existence No idea why socalled Christians think they are entitled to have say in other peoples livesdidnt Jesus say judge not lest he be judged,Hope_speech
hate the dont agree with homosexuality argument like Thats like saying dont agree with that tree over there Like Its just thing that exists and cant be changed,Hope_speech
chose love too,Hope_speech
Cat Jones do agree but also think there are some problems with this protest such as destruction of property That means people would see them as threat not someone who you can reason with,Hope_speech
ass here are too many trolls who even give LGBT bad light Its just embarrassing and shows what low IQ they got,Hope_speech
They just meanBlack lives matter toobecause over looked alot in pastat timesthats all they meanduhhhhh Of course everyone knows all lives matter even animals,Hope_speech
The sad thing is this is the least abusive conversion therapy Ive ever heard of My friends have scars and burns where they were shocked and burned and tortured It was so bad that you have to pretend to change to get away from it There is no shame in lying to end the torture wasnt put in that situation but was homeless for bit,Hope_speech
really wish black loves matter was originally called all lives matter or something else at the end of the day the american constitution says all lives are equal regardless of race,Hope_speech
The lgbtq helped launched Madonna and the fact she basically knowdlgeses it every time in her song and in her daily life is iconic,Hope_speech
In the eyes of God there is no color,Hope_speech
Im man She is beautiful and sure she is just as good as any man engineer,Hope_speech
STOP USING RELIGION TO HATE ON PEOPLE ITS STUPID AND HARSH,Hope_speech
ELM Every life matters,Hope_speech
Ive never been fan of Madonnas music nor do like her personality but do love that she has been great friend to the LGBTQ community Also,Hope_speech
EVERYONE SHOULD RESPECT HER SHE IS TRUE ARTIST,Hope_speech
Did you not watch the video lolnnWhat the fuck is up with you people who dont watch the video SHES FUCKING ENGINEER so its NOT IMPOSSIBLE BECAUSE SHE ALREADY IS ONE swear youd only think something was impossible if no one has ever done it,Hope_speech
Is he teacher Because he explains concepts so well to children What wonderful person,Hope_speech
if all lives matter to guys,Hope_speech
All life on the planet is the most precious thing God has given anyone or anything once it is gone that is it so remember this and quit fighting over it all life matters right from the smallest tiny thing to the most ignorant thing on the planet that is most fun in lightning and unwoke the human being :thinking face::thinking face::face with raised eyebrow:,Hope_speech
ALL Lives Matter including the Unborn,Hope_speech
She is my new role model,Hope_speech
Reynolds You cannot change persons sexual orientation Period Thats why Its something hard wired in the brain,Hope_speech
honestly why cant we all just get together whether we be black or white,Hope_speech
Why Parenthood What is the foundation for Parenthood Is my concernAll life matters because our Creator created each one of us,Hope_speech
you have encouraged me thank you for sharing,Hope_speech
would have been fine with ALM if it didnt come right after BLM,Hope_speech
Smith Now now freedom of speech is right in 2dats society,Hope_speech
Thats right ALL LIVES MATTER,Hope_speech
WE ALL ALLLLLLLLLLLLL HELLO ALLLLLLMATTERS IN GODS EYES GODS EYES ARE ON YOU THREE MENS AND THE WORLD EVEN ME HELLOPRAY,Hope_speech
Black lives matternWhite lives matternAsian lives matternAustralian lives matternI mean is no one gonna stop me cus Ill be here all daynAll lives matter but so does freedom of speech,Hope_speech
just wanted to tear up when Debbie spoke about creating engineering toys for little girls to help change the spatial learning they have People like her are the reason why still want to pursue in engineering,Hope_speech
Thank you for sharing your experience my self had the same feeling where did not fit in as an engineer It is good to know that am not alone with this situation,Hope_speech
So human lives matter would be good slogan to fight for,Hope_speech
actually agree with her when she said its cultural problem There are countries where girls have hard time being in STEM and countries where they are mostly completely fine personally grew up going to math and physics based lyceum that was super hard to get into and we had about or boys in class of 30 people We had blast and our gender was never an issue dont know if it would be the same if we werent majority but all the girls went on to become engineers,Hope_speech
OMG love Crystals innocence She is such sweet kid,Hope_speech
loved this video It was so inspiring really want to be structural engineer when grow up,Hope_speech
All Lives Matter nLook up nBochelli The tennornShe kept her baby,Hope_speech
littlemermaid All the best Sis,Hope_speech
Im 12 and Ive known was into girls since was When was or 10 didnt know about homophobia and things so came out to some of my friends also didnt know they were religious and they told lot of people at my school,Hope_speech
Conversation therapy No way Im pretty sure that thats abusenA few people might disagree,Hope_speech
nQueer is the short and simple way of saying LGBTQIA If youre queer,Hope_speech
King we are all Gods children So to me every single precious human beings life is important So to me it will always be All Lives Matter nPeriod,Hope_speech
grew up being taught to not make fun of any group youre not part of Except queernMy sister is lesbian,Hope_speech
Madonna is amazing she really is she fights for what she believes in and that awesome Ive loved her since was really young,Hope_speech
Lets make some mental gymnastics it will require LOT of it in order to assume homosexuality can be cured Done Ok How are you going to cure someone by hitting them and make them repeat the same thing over and over again on daily basis This is no therapy Theres nothing therapeutic in being hurt or brainwashed How do we still call those things therapies This is nothing more than legal abuse Parents who send their child there would say im sending my child in place where they will be abused both mentally and physically if they were honest about themselves Then add the usual love them and see if it makes sense,Hope_speech
All lives do matter To say otherwise creates separation We are one Nation under God We all bleed red The human race is the only race Its time to move forward together We all struggle and have struggled,Hope_speech
have twenty years of construction and fabrication workIve seen so many engineering mistakesMale and female engineers,Hope_speech
Yo for real why do all of you guys care so much about what her sexuality is gonna be Because she has short hair and wears cuff jeans lot of people wear cuff jeans and have short hair that arent LGBT Im okay if she does become LGBT,Hope_speech
came out to my father on October 11,Hope_speech
Y2K you would beat someone with book to make them believe in god thats what we call toxic faith not everybody believes the same things and thats what creates diversity,Hope_speech
All lives MATTER God created life,Hope_speech
never thought would but now Im biomedical engineer,Hope_speech
